epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,7056.88,0.50377,0.43749,0.86239,0.88702,0.84211,0.87808,0.60989,1.75704,1.41736,1.57756,0.0003269,0.0003269,0.0003269
171,7090.9,0.52363,0.41511,0.8602,0.93283,0.73131,0.85016,0.59036,1.75149,1.26651,1.59185,0.000317,0.000317,0.000317
172,7122.62,0.49784,0.41637,0.85938,0.92298,0.73684,0.84179,0.57828,1.77211,1.24738,1.5916,0.0003071,0.0003071,0.0003071
173,7154.2,0.55832,0.44258,0.89508,0.921,0.73684,0.8449,0.5783,1.78311,1.26725,1.56439,0.0002972,0.0002972,0.0002972
174,7188.78,0.54548,0.42549,0.88382,0.88161,0.78415,0.85035,0.57167,1.78893,1.29302,1.55328,0.0002873,0.0002873,0.0002873
175,7228.91,0.53842,0.44536,0.87932,0.80797,0.88615,0.8975,0.58999,1.73529,1.24869,1.50318,0.0002774,0.0002774,0.0002774
176,7265.79,0.57888,0.47462,0.90761,0.86893,0.84211,0.91457,0.61162,1.68025,1.13867,1.50463,0.0002675,0.0002675,0.0002675
177,7300.17,0.5323,0.41902,0.87219,0.94248,0.89474,0.93283,0.61362,1.63106,1.09302,1.52365,0.0002576,0.0002576,0.0002576
178,7333.82,0.51632,0.43305,0.88834,0.9352,0.89474,0.93078,0.60762,1.63513,1.14009,1.54264,0.0002477,0.0002477,0.0002477
179,7371.72,0.52361,0.42296,0.90143,0.85666,0.94378,0.93208,0.57177,1.62922,1.18895,1.56354,0.0002378,0.0002378,0.0002378
180,7404.79,0.53801,0.40619,0.88062,0.85665,0.94737,0.93842,0.57639,1.63032,1.23454,1.57309,0.0002279,0.0002279,0.0002279
181,7443.7,0.48749,0.43788,0.8683,0.84841,0.89474,0.87329,0.57117,1.68102,1.30652,1.61255,0.000218,0.000218,0.000218
182,7491.03,0.5506,0.44942,0.89192,0.88839,0.83807,0.86092,0.58319,1.76523,1.2708,1.65097,0.0002081,0.0002081,0.0002081
183,7529.38,0.50043,0.41408,0.86949,0.8875,0.83089,0.85804,0.56219,1.66683,1.33159,1.57918,0.0001982,0.0001982,0.0001982
